Unnamed: 0,title,company,location,time,url
88,BI Data Analyst,eDreams ODIGEO,Barcelona,Hace 23 horas,https://es.linkedin.com/jobs/view/bi-data-analyst-at-edreams-odigeo-3656553634?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=0CgOYy2PsQdhnnr2%2FsXe4w%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
89,Senior marketing Data Analyst,Antal International,Barcelona,Hace 22 horas,https://es.linkedin.com/jobs/view/senior-marketing-data-analyst-at-antal-international-3656531741?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=CLgIonhGp4q71r%2BMVH2j0A%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
90,Data and Reporting Analyst,beside Talent,Sabadell,Hace 1 mes,https://es.linkedin.com/jobs/view/data-and-reporting-analyst-at-beside-talent-3628595473?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=CdIFVWzJ41BRJ3B80jpPKg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
91,BI Analyst - Tableau or other BI Tools,TransPerfect,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/bi-analyst-tableau-or-other-bi-tools-at-transperfect-3495642414?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=ZKRHs%2BgqEn%2FFPYwp6UcKUg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
92,Data Analyst It · Barcelona,Malthus Darwin,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-it-%C2%B7-barcelona-at-malthus-darwin-3645918485?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=WmXEa8JdaWWyhs2p0Vnzzg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
93,Data Event Analyst,NextLink Group,Sant Cugat del Vallès,Hace 3 semanas,https://es.linkedin.com/jobs/view/data-event-analyst-at-nextlink-group-3638308681?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=2RCTBkqj%2F4e9yXrz0GR9cA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
94,Data Analyst (on-site),Michael Page,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-on-site-at-michael-page-3646989199?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=IMv3gGVLxsNsTyi79Ara8w%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
95,BI Analyst,Criteo,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/bi-analyst-at-criteo-3651025678?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=u0fF1bhoTdIdB1ZBhgtodQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
96,Data Analyst,Prosperity Recruitment,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-prosperity-recruitment-3626841679?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=LM29OgXG2xneiPKIeC5dxA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
97,Data Analyst,The Knot Worldwide,Barcelona,Hace 2 días,https://es.linkedin.com/jobs/view/data-analyst-at-the-knot-worldwide-3657234795?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=VKe9hGAYxkqc333T5SeR9g%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
