title,company,location,time,url
Data Scientist (BI & Reporting Team) ESP,Teladoc Health,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/data-scientist-bi-reporting-team-esp-at-teladoc-health-3577047473?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=m%2BrichObNDxVGB98sxYypw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Proton | Privacy by Default,Barcelona,Hace 6 días,https://es.linkedin.com/jobs/view/data-analyst-at-proton-privacy-by-default-3655234899?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=lbsTaBzacA%2FwRiRdKsUk%2BA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist Junior,Between Technology,Palau-solità i Plegamans,Hace 2 meses,https://es.linkedin.com/jobs/view/data-scientist-junior-at-between-technology-3596691631?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=MeJbp%2FHWNxYqVyXg5k2j3g%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
BI Analyst,Criteo,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/bi-analyst-at-criteo-3651025678?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=ZUzqFc3TwbrY5XyloOTM0Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Insights Analyst - DCR,Schneider Electric,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-insights-analyst-dcr-at-schneider-electric-3624595839?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=sMVNTqpUQNUgXfDe4IB1qw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Engineer,Exoticca,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/data-engineer-at-exoticca-3636831376?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=VuD1GZ08QzNLuuKy3Xep7A%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Quality Analyst,PepsiCo,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-quality-analyst-at-pepsico-3611365204?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=7i8lK7EHFo9FUiU1Yfx1eA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Paper Street Media,Barcelona,Hace 1 día,https://es.linkedin.com/jobs/view/data-scientist-at-paper-street-media-3659781013?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=S10wmpQfu65Jk2ax64%2FXzw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,TravelPerk,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/senior-data-analyst-at-travelperk-3636090866?refId=jWf2Fweu6LwaRUAHa5CNVQ%3D%3D&trackingId=uIn48tFUwlJNptlzo1CfDA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,The Knot Worldwide,Barcelona,Hace 5 días,https://es.linkedin.com/jobs/view/data-analyst-at-the-knot-worldwide-3657234795?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=4ubWuvrBSIetsxlKny9ZjQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
BI Analyst - Tableau or other BI Tools,TransPerfect,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/bi-analyst-tableau-or-other-bi-tools-at-transperfect-3495642414?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=VOCi%2F474yjbLQtOXxXl%2B0g%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Huxley,Barcelona,Hace 46 minutos,https://es.linkedin.com/jobs/view/data-analyst-at-huxley-3660901286?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=1MT2cVerx2i2iPQ5I1kZNA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,PayFit France,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/senior-data-analyst-at-payfit-france-3648770011?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=Sb77pWkKPQkk0bpxBDa%2FaQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Associate Project Manager Data Analyst (They/She/He),Glovo,Barcelona y alrededores,Hace 1 semana,https://es.linkedin.com/jobs/view/associate-project-manager-data-analyst-they-she-he-at-glovo-3628774346?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=GUUq26Djy4wvsN1VStOfXA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Scientist (m/f/d),ZF Group,Barcelona,Hace 1 día,https://es.linkedin.com/jobs/view/data-scientist-m-f-d-at-zf-group-3659216683?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=%2FTNsH8DHXy2DrW7e%2FoY2%2BQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Junior Data Engineer - Finance Data Operations,Schneider Electric,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/junior-data-engineer-finance-data-operations-at-schneider-electric-3620310326?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=AA20eSuv%2FBGavii8Q7xWJA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Project Manager/ Data Analyst,Infosys,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/senior-project-manager-data-analyst-at-infosys-3646621133?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=7U97v9CirTogjA3VWnZxxw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Visualization Analyst,Experfy,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/data-visualization-analyst-at-experfy-3590307510?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=BsZdFs%2BBXzxyODaWwZvVfw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Pricing Data Scientist,HP,Sant Cugat del Vallès,Hace 7 horas,https://es.linkedin.com/jobs/view/pricing-data-scientist-at-hp-3639512168?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=ZnO8Ys%2B%2F0qxv6NqaAZ%2FL5w%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Page Personnel,Sant Cugat del Vallès,Hace 3 semanas,https://es.linkedin.com/jobs/view/data-analyst-at-page-personnel-3660009585?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=9GPzBaOCzQhp3mXIb%2Ba6jQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,The Knot Worldwide,Sant Cugat del Vallès,Hace 5 días,https://es.linkedin.com/jobs/view/data-analyst-at-the-knot-worldwide-3657240489?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=UJtpg40CaSNUAeXLkCqZBg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (Operations Team),Holaluz.com,Barcelona,Hace 1 día,https://es.linkedin.com/jobs/view/data-analyst-operations-team-at-holaluz-com-3659085512?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=XmrAb%2Fm6vKfckBYsFX8kdg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst,Paper Street Media,Barcelona,Hace 1 día,https://es.linkedin.com/jobs/view/business-analyst-at-paper-street-media-3659778449?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=fvnfXaNKS8O79cbxtJjZwg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Scientist,Paper Street Media,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-scientist-at-paper-street-media-3628225955?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=4pUfMPL5jcDAkt%2Fn%2Bjmntw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Staff Data Analyst,Kiwi.com,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/staff-data-analyst-at-kiwi-com-3649977456?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=9rcAJBlDinEHHX2jaSTinw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Scientist (Product Analytics) ESP,Teladoc Health,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/data-scientist-product-analytics-esp-at-teladoc-health-3577047195?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=G%2BQE8avMJKuemIBpFKzwnQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analytics Consultant - Barcelona,Making Science,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analytics-consultant-barcelona-at-making-science-3611947552?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=CQywTuCOirTHepTLSRqoHw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
